,filename,Start (s),End (s),Confidence,label
105,ARM1_20220520_043000_005.wav,0.0,3.0,0.5541,veheng
106,ARM1_20220520_043000_006.wav,0.0,3.0,0.4577,veheng
107,ARM1_20220520_043000_007.wav,0.0,3.0,0.6039,veheng
108,ARM1_20220520_043000_008.wav,0.0,3.0,0.7492,veheng
109,ARM1_20220520_043000_009.wav,0.0,3.0,0.7053,veheng
110,ARM1_20220520_043000_010.wav,0.0,3.0,0.7837,veheng
111,ARM1_20220520_043000_011.wav,0.0,3.0,0.7411,veheng
112,ARM1_20220520_043000_012.wav,0.0,3.0,0.6958,veheng
113,ARM1_20220520_043000_013.wav,0.0,3.0,0.5914,veheng
114,ARM1_20220520_043000_014.wav,0.0,3.0,0.6962,veheng
115,ARM1_20220520_043000_015.wav,0.0,3.0,0.5243,veheng
116,ARM1_20220520_043000_016.wav,0.0,3.0,0.6076,veheng
117,ARM1_20220520_043000_017.wav,0.0,3.0,0.6972,veheng
118,ARM1_20220520_043000_018.wav,0.0,3.0,0.693,veheng
119,ARM1_20220520_043000_019.wav,0.0,3.0,0.5558,veheng
120,ARM1_20220521_030000_000.wav,0.0,3.0,0.7753,veheng
121,ARM1_20220521_030000_001.wav,0.0,3.0,0.7648,veheng
122,ARM1_20220521_030000_002.wav,0.0,3.0,0.8292,veheng
123,ARM1_20220521_030000_003.wav,0.0,3.0,0.8423,veheng
124,ARM1_20220521_030000_004.wav,0.0,3.0,0.7777,veheng
125,ARM1_20220521_030000_005.wav,0.0,3.0,0.8748,veheng
126,ARM1_20220521_030000_006.wav,0.0,3.0,0.84,veheng
127,ARM1_20220521_030000_007.wav,0.0,3.0,0.9083,veheng
128,ARM1_20220521_030000_008.wav,0.0,3.0,0.8404,veheng
129,ARM1_20220521_030000_009.wav,0.0,3.0,0.8685,veheng
130,ARM1_20220521_030000_010.wav,0.0,3.0,0.8118,veheng
131,ARM1_20220521_030000_011.wav,0.0,3.0,0.8395,veheng
132,ARM1_20220521_030000_012.wav,0.0,3.0,0.8409,veheng
133,ARM1_20220521_030000_013.wav,0.0,3.0,0.8056,veheng
134,ARM1_20220521_030000_014.wav,0.0,3.0,0.8947,veheng
135,ARM1_20220521_030000_015.wav,0.0,3.0,0.8239,veheng
136,ARM1_20220521_030000_016.wav,0.0,3.0,0.9134,veheng
137,ARM1_20220521_030000_017.wav,0.0,3.0,0.8515,veheng
138,ARM1_20220521_030000_018.wav,0.0,3.0,0.8848,veheng
139,ARM1_20220521_030000_019.wav,0.0,3.0,0.7911,veheng
140,ARM1_20220521_164500_000.wav,0.0,3.0,0.9031,veheng
141,ARM1_20220521_164500_001.wav,0.0,3.0,0.8816,veheng
142,ARM1_20220521_164500_002.wav,0.0,3.0,0.8134,veheng
143,ARM1_20220521_164500_003.wav,0.0,3.0,0.8497,veheng
144,ARM1_20220521_164500_004.wav,0.0,3.0,0.8981,veheng
145,ARM1_20220521_164500_005.wav,0.0,3.0,0.9141,veheng
146,ARM1_20220521_164500_006.wav,0.0,3.0,0.8612,veheng
147,ARM1_20220521_164500_007.wav,0.0,3.0,0.7762,veheng
148,ARM1_20220521_164500_008.wav,0.0,3.0,0.8393,veheng
149,ARM1_20220521_164500_009.wav,0.0,3.0,0.9386,veheng
150,ARM1_20220521_164500_010.wav,0.0,3.0,0.9223,veheng
151,ARM1_20220521_164500_011.wav,0.0,3.0,0.8093,veheng
152,ARM1_20220521_164500_012.wav,0.0,3.0,0.8705,veheng
153,ARM1_20220521_164500_013.wav,0.0,3.0,0.879,veheng
154,ARM1_20220521_164500_014.wav,0.0,3.0,0.9122,veheng
155,ARM1_20220521_164500_015.wav,0.0,3.0,0.8571,veheng
156,ARM1_20220521_164500_016.wav,0.0,3.0,0.8611,veheng
157,ARM1_20220521_164500_017.wav,0.0,3.0,0.8822,veheng
158,ARM1_20220521_164500_018.wav,0.0,3.0,0.8888,veheng
159,ARM1_20220521_164500_019.wav,0.0,3.0,0.8414,veheng
160,ARM1_20220522_144500_000.wav,0.0,3.0,0.9693,veheng
161,ARM1_20220522_144500_001.wav,0.0,3.0,0.8388,veheng
162,ARM1_20220522_144500_002.wav,0.0,3.0,0.8395,veheng
163,ARM1_20220522_144500_003.wav,0.0,3.0,0.9391,veheng
164,ARM1_20220522_144500_004.wav,0.0,3.0,0.8717,veheng
165,ARM1_20220522_144500_005.wav,0.0,3.0,0.8363,veheng
166,ARM1_20220522_144500_006.wav,0.0,3.0,0.9271,veheng
167,ARM1_20220522_144500_007.wav,0.0,3.0,0.9091,veheng
168,ARM1_20220522_144500_008.wav,0.0,3.0,0.8445,veheng
169,ARM1_20220522_144500_009.wav,0.0,3.0,0.778,veheng
170,ARM1_20220522_144500_010.wav,0.0,3.0,0.7945,veheng
171,ARM1_20220522_144500_011.wav,0.0,3.0,0.9221,veheng
172,ARM1_20220522_144500_012.wav,0.0,3.0,0.8052,veheng
173,ARM1_20220522_144500_013.wav,0.0,3.0,0.9116,veheng
174,ARM1_20220522_144500_014.wav,0.0,3.0,0.8309,veheng
175,ARM1_20220522_144500_015.wav,0.0,3.0,0.8963,veheng
176,ARM1_20220522_144500_016.wav,0.0,3.0,0.6524,veheng
177,ARM1_20220522_144500_017.wav,0.0,3.0,0.9068,veheng
178,ARM1_20220522_144500_018.wav,0.0,3.0,0.8834,veheng
179,ARM1_20220522_144500_019.wav,0.0,3.0,0.8206,veheng
180,ARM1_20220526_053000_000.wav,0.0,3.0,0.7869,veheng
181,ARM1_20220526_053000_001.wav,0.0,3.0,0.6957,veheng
182,ARM1_20220526_053000_002.wav,0.0,3.0,0.7552,veheng
183,ARM1_20220526_053000_003.wav,0.0,3.0,0.8815,veheng
184,ARM1_20220526_053000_004.wav,0.0,3.0,0.8111,veheng
185,ARM1_20220526_053000_005.wav,0.0,3.0,0.7701,veheng
186,ARM1_20220526_053000_006.wav,0.0,3.0,0.6859,veheng
187,ARM1_20220526_053000_007.wav,0.0,3.0,0.6683,veheng
188,ARM1_20220526_053000_008.wav,0.0,3.0,0.8247,veheng
189,ARM1_20220526_053000_009.wav,0.0,3.0,0.6915,veheng
190,ARM1_20220526_053000_010.wav,0.0,3.0,0.6392,veheng
191,ARM1_20220526_053000_011.wav,0.0,3.0,0.7573,veheng
192,ARM1_20220526_053000_012.wav,0.0,3.0,0.8621,veheng
193,ARM1_20220526_053000_013.wav,0.0,3.0,0.8031,veheng
194,ARM1_20220526_053000_014.wav,0.0,3.0,0.7598,veheng
195,ARM1_20220526_053000_015.wav,0.0,3.0,0.8536,veheng
196,ARM1_20220526_053000_016.wav,0.0,3.0,0.7767,veheng
